
group,index,glyph,code_point,unicode_name
3,83,⟙,U+27D9,LARGE DOWN TACK
3,84,⟜,U+27DC,LEFT MULTIMAP
3,85,⟝,U+27DD,LONG RIGHT TACK
3,86,⟞,U+27DE,LONG LEFT TACK
3,87,⟟,U+27DF,UP TACK WITH CIRCLE ABOVE
3,88,⟠,U+27E0,LOZENGE DIVIDED BY HORIZONTAL RULE
3,89,⟡,U+27E1,WHITE CONCAVE-SIDED DIAMOND
3,90,⟢,U+27E2,WHITE CONCAVE-SIDED DIAMOND WITH LEFTWARDS TICK
3,91,⟣,U+27E3,WHITE CONCAVE-SIDED DIAMOND WITH RIGHTWARDS TICK
3,92,⟤,U+27E4,WHITE SQUARE WITH LEFTWARDS TICK
3,93,⟥,U+27E5,WHITE SQUARE WITH RIGHTWARDS TICK
3,94,⟦,U+27E6,MATHEMATICAL LEFT WHITE SQUARE BRACKET
3,95,⟧,U+27E7,MATHEMATICAL RIGHT WHITE SQUARE BRACKET
3,96,⟨,U+27E8,MATHEMATICAL LEFT ANGLE BRACKET
3,97,⟩,U+27E9,MATHEMATICAL RIGHT ANGLE BRACKET
3,98,⟪,U+27EA,MATHEMATICAL LEFT DOUBLE ANGLE BRACKET
3,99,⟫,U+27EB,MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET
3,100,⟬,U+27EC,MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET
3,101,⟭,U+27ED,MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET
3,102,⟮,U+27EE,MATHEMATICAL LEFT FLATTENED PARENTHESIS
3,103,⟯,U+27EF,MATHEMATICAL RIGHT FLATTENED PARENTHESIS
3,104,⦀,U+2980,TRIPLE VERTICAL BAR DELIMITER
3,105,⦁,U+2981,Z NOTATION SPOT
3,106,⦂,U+2982,Z NOTATION TYPE COLON
3,107,⦃,U+2983,LEFT WHITE CURLY BRACKET
3,108,⦄,U+2984,RIGHT WHITE CURLY BRACKET
3,109,⦅,U+2985,LEFT WHITE PARENTHESIS
3,110,⦆,U+2986,RIGHT WHITE PARENTHESIS
